Paises,sede,Red_Social,URL
United States,CNYOR,Youtube, www.Youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg 
United States,EEEUU,Facebook, www.Facebook.com/ARGinUSA/ 
United States,EEEUU,Flickr, www.Flickr.com/photos/ARGinUSA/ 
United States,EEEUU,Instagram, www.Instagram.com/ARGinUSA/ 
United States,EEEUU,Linkedin, www.Linkedin.com/in/ARGinUSA 
United States,EEEUU,Twitter,www.Twitter.com/ARGinUSA 
United States,EEEUU,Youtube, www.Youtube.com/ARGinUSA 
United States,EEOEA,Facebook,www.Facebook.com/ARGenOEA/ 
United States,EEOEA,Instagram, www.Instagram.com/argenoea/ 
United States,EEOEA,Twitter, www.Twitter.com/ARGenOEA 
United States,EEOEA,Youtube, www.Youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured 
Viet Nam,EVIET,Facebook,www.Facebook.com/ArgentinaEnVietnam/ 
Viet Nam,EVIET,Instagram, www.Instagram.com/argenvietnam/ 
South Africa,ESAFR,Facebook,www.Facebook.com/ArgenSudafrica 
South Africa,ESAFR,Instagram, www.Instagram.com/argentinaensudafrica 
South Africa,ESAFR,Twitter, www.Twitter.com/EmbArgentina 
