sede_id,sede_desc_castellano,pais_castellano,region_geografica,pais_iso_3,redes_sociales,Estado
EECUA,Embajada  en  Ecuador,REPÚBLICA  DEL  ECUADOR,AMÉRICA  DEL  SUR,ECU,www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks  //  www.instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh  //  www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng  //  ,Activo
EEARB,Embajada  en  Emiratos  Árabes  Unidos,EMIRATOS  ÁRABES  UNIDOS,ASIA,ARE,www.facebook.com/ArgentinaEnEmiratosArabesUnidos  //  ,Activo
EFILI,Embajada  en  Filipinas,REPÚBLICA  DE  FILIPINAS,ASIA,PHL,www.facebook.com/ArgentinaEnFilipinas  //  www.instagram.com/argentinaenfilipinas/  //  www.twitter.com/ArgentinaEnFili  //  ,Activo
EFRAN,Embajada  en  Francia,REPÚBLICA  FRANCESA,EUROPA  OCCIDENTAL,FRA,www.facebook.com/ArgentinaEnFrancia/  //  ,Activo
EOIRS,Misión  Permanente  ante  los  Organismos  Internacionales  en  Ginebra,Confederación  Suiza,EUROPA  OCCIDENTAL,CHE,www.facebook.com/ArgentinaEnGinebra  //  www.instagram.com/misionargentinaonu  //  www.twitter.com/ArgentinaONUOMC    //  www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag  //  ,Activo
EGREC,Embajada  en  Grecia,REPÚBLICA  HELÉNICA,EUROPA  OCCIDENTAL,GRC,www.facebook.com/ArgentinaEnGrecia  //  www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured  //  ,Activo
CHOUS,Consulado  General  en  Houston,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,www.facebook.com/ArgentinaEnHouston/  //  ,Activo
EUNGR,Embajada  en  Hungría,HUNGRÍA,EUROPA  CENTRAL  Y  ORIENTAL,HUN,www.facebook.com/ArgentinaEnHungria  //  ,Activo
EIRLA,Embajada  en  Irlanda,IRLANDA,EUROPA  OCCIDENTAL,IRL,www.facebook.com/ArgentinaEnIrlanda/  //  www.instagram.com/embajadaargentinairlanda  //  ,Activo
CGTEL,Consulado  General  en  Tel  Aviv,ESTADO  DE  ISRAEL,ASIA,ISR,www.facebook.com/ArgentinaEnIsrael/  //  ,Activo
EJAMA,Embajada  en  Jamaica,JAMAICA,AMÉRICA  CENTRAL  Y  CARIBE,JAM,www.facebook.com/ArgentinaEnJamaica/  //  www.twitter.com/ARGenJamaica  //  ,Activo
ELBNO,Embajada  en  Líbano,REPÚBLICA  LIBANESA,ASIA,LBN,www.facebook.com/ArgentinaEnLibano  //  ,Activo
CLANG,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel   ,Activo
CMADR,Consulado  General  en  Madrid,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,www.facebook.com/ArgentinaEnMadridEsp/  //  ,Activo
EMSIA,Embajada  en  Malasia,MALASIA,ASIA,MYS,www.facebook.com/ArgentinaEnMalasia  //  ,Activo
CMDEO,Consulado  General  en  Montevideo,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,www.facebook.com/ArgentinaEnMontevideo/  //  ,Activo
EMOZA,Embajada  en  Mozambique,REPÚBLICA  DE  MOZAMBIQUE,ÁFRICA  SUBSAHARIANA,MOZ,www.facebook.com/ArgentinaEnMozambique/  // ,Activo
ENIGE,Embajada  en  Nigeria,REPÚBLICA  FEDERAL  DE  NIGERIA,ÁFRICA  SUBSAHARIANA,NGA,www.facebook.com/ArgentinaEnNigeria/  //  www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8  //  ,Activo
ENORU,Embajada  en  Noruega,REINO  DE  NORUEGA,EUROPA  OCCIDENTAL,NOR,www.facebook.com/ArgentinaEnNoruega/  //  www.instagram.com/ARGenNoruega/  //  ,Activo
CMALL,Consulado  en  Palma,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,www.facebook.com/ArgentinaEnPalmaDeMallorca  //  ,Activo
CPMON,Consulado  en  Puerto  Montt,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,www.facebook.com/ArgentinaEnPuertoMontt/  //  ,Activo
ECHES,Embajada  en  República  Checa,REPÚBLICA  CHECA,EUROPA  CENTRAL  Y  ORIENTAL,CZE,www.facebook.com/ArgentinaEnRepCheca/  //  www.instagram.com/argentinaenpraga  //  ,Activo
CRIOJ,Consulado  General  en  Rio  de  Janeiro,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,www.facebook.com/ArgentinaEnRiodeJaneiro/  //  ,Activo
ERUMA,Embajada  en  Rumania,RUMANIA,EUROPA  CENTRAL  Y  ORIENTAL,ROU,www.facebook.com/ArgentinaEnRumania  //  www.instagram.com/argentinaenrumania  //  ,Activo
CSIDN,Consulado  General  en  Sidney,AUSTRALIA,OCEANÍA,AUS,www.facebook.com/ArgentinaEnSidney/  //  ,Activo
CTORO,Consulado  General  en  Toronto,CANADÁ,AMÉRICA  DEL  NORTE,CAN,www.facebook.com/ArgentinaEnToronto/  //  www.instagram.com/consuladoargtoronto/  //  ,Activo
EUCRA,Embajada  en  Ucrania,UCRANIA,EUROPA  CENTRAL  Y  ORIENTAL,UKR,www.facebook.com/ArgentinaEnUcrania  //  www.instagram.com/argenucrania/  //  ,Activo
CVALP,Consulado  General  en  Valparaíso,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,www.facebook.com/ArgentinaEnValparaiso  //  ,Activo
EVIET,Embajada  en  Vietnam,REPÚBLICA  SOCIALISTA  DE  VIETNAM,ASIA,VNM,www.facebook.com/ArgentinaEnVietnam/  //  www.instagram.com/argenvietnam/  //  ,Activo
ECANA,Embajada  en  Canadá,CANADÁ,AMÉRICA  DEL  NORTE,CAN,www.facebook.com/ArgentinaInCanada  //  www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A  //  www.twitter.com/ArginCanada  //  www.instagram.com/argentinaincanada/  //  www.linkedin.com/company/argentinaincanada  //  ,Activo
ETUNE,Embajada  en  Túnez,REPÚBLICA  TUNECINA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,TUN,www.facebook.com/ArgEnTunez/  //  www.twitter.com/EmbajadaTunez  //  www.instagram.com/embargentinatn  //  www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg  //  ,Activo
CURUG,Consulado  en  Uruguayana,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,www.facebook.com/ArgEnUruguayana/  //  www.twitter.com/CURUGoK  //  ,Activo
CVILL,Consulado  en  Villazon,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,www.facebook.com/ArgEnVillazon  //  ,Activo
CBONN,Consulado  en  Bonn,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,www.facebook.com/ConsuladoArgentinoenBonn  //  http://www.instagram.com/consulado.argentino.bonn  //  ,Activo
CMILA,Consulado  General  y  Centro  de  Promoción  en  Milán,REPÚBLICA  ITALIANA,EUROPA  OCCIDENTAL,ITA,www.facebook.com/ConsuladoArgentinoenMilan  //  www.instagram.com/consuladoargentinoenmilan/  //  www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ  //  ,Activo
CANTO,Consulado  en  Antofagasta,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/  //  ,Activo
EFRUS,Embajada  en  Rusia,FEDERACIÓN  DE  RUSIA,EUROPA  CENTRAL  Y  ORIENTAL,RUS,www.facebook.com/EMBAJADAARGENTINAENMOSCU  //  www.twitter.com/EmbArgRusia  //  ,Activo
EASIR,Embajada  en  Siria,REPÚBLICA  ÁRABE  SIRIA,ASIA,SYR,www.facebook.com/Embajada-Argentina-en-Siria-112176794025495  //  ,Activo
EDINA,Embajada  en  Dinamarca,REINO  DE  DINAMARCA,EUROPA  OCCIDENTAL,DNK,www.facebook.com/EmbajadadeArgentinaenDinamarca/  //  ,Activo
EPOLO,Embajada  en  Polonia,REPÚBLICA  DE  POLONIA,EUROPA  CENTRAL  Y  ORIENTAL,POL,www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/  //  ,Activo
EAZER,Embajada  en  Azerbaiyán,REPÚBLICA  DE  AZERBAIYÁN,ASIA,AZE,www.facebook.com/EmbassyOfArgentina/  //  www.instagram.com/embargentinaaz  //  www.twitter.com/ARGEnAzer  //  ,Activo
CMALD,Consulado  en  Maldonado,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal  //  www.instagram.com/consulado_argentino/  //  ,Activo
CAREN,Consulado  General  en  Punta  Arenas,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,www.facebook.com/profile.php?id=100014152878593  //  ,Activo
CSBAH,Consulado  en  San  Salvador  de  Bahía,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,www.instagram.com/argentinaensalvador  //  www.facebook.com/ArgentinaenSalvador  //  www.twitter.com/ArgentinaEnSSA  //  ,Activo
EARME,Embajada  en  Armenia,REPÚBLICA  DE  ARMENIA,ASIA,ARM,www.instagram.com/arginarmenia/  //  www.facebook.com/ArgentinaEnArmenia  //  www.twitter.com/ARGinArmenia  //  ,Activo
CLOND,Consulado  General  en  Londres,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,EUROPA  OCCIDENTAL,GRB,www.instagram.com/consuladoargentinoenlondres/  //  ,Activo
EBRAS,Embajada  en  Brasil,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,www.instagram.com/embaargenbrasil  //  www.twitter.com/ArgentinaEnBras  //  www.facebook.com/embargbrasil  //  ,Activo
EMARR,Embajada  en  Marruecos,REINO  DE  MARRUECOS,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,MAR,www.instagram.com/marruecos.embajada/  //  www.twitter.com/ArgMarruecos  //  ,Activo
EEGIP,Embajada  en  Egipto,REPÚBLICA  ÁRABE  DE  EGIPTO,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,EGY,www.instagram.com/argenegipto/  //  www.twitter.com/ARGenEgipto  //  www.facebook.com/ArgentinaenEgipto  //  ,Activo
EEOEA,Misión  Permanente  ante  la  Organización  de  Estados  Americanos,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,www.facebook.com/ARGenOEA/  //  www.instagram.com/argenoea/  //  www.twitter.com/ARGenOEA  //  www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured  //  ,Activo
CCADI,Consulado  en  Cádiz,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,www.facebook.com/ArgentinaEnCadiz  //  ,Activo
EFINL,Embajada  en  Finlandia,REPÚBLICA  DE  FINLANDIA,EUROPA  OCCIDENTAL,FIN,www.facebook.com/ArgentinaEnFinlandia/  //  www.instagram.com/argenfinlandia/  //  ,Activo
EKENY,Embajada  en  Kenia,REPÚBLICA  DE  KENYA,ÁFRICA  SUBSAHARIANA,KEN,www.facebook.com/ArgentinaEnKenia  //  www.instagram.com/argenkenya/  //  ,Activo
EKUWA,Embajada  en  Kuwait,ESTADO  DE  KUWAIT,ASIA,KWT,www.facebook.com/ArgentinaenKuwait  //  ,Activo
CTENE,Consulado  en  Tenerife,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,www.facebook.com/argentinaentenerife  //  ,Activo
ETRIN,Embajada  en  Trinidad  y  Tobago,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,AMÉRICA  CENTRAL  Y  CARIBE,TTO,www.facebook.com/ArgentinaEnTrinidadYTobago // ,Activo
CCOCH,Consulado  en  Cochabamba,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,www.facebook.com/ArgentinaEnCochabamba  //  ,Activo
EMFAO,Misión  Permanente  ante  la  Organización  de  las  Naciones  Unidas  para  la  Alimentación  y  la  Agricultura,REPÚBLICA  ITALIANA,EUROPA  OCCIDENTAL,ITA,,Activo
