sede_id,sede_desc_castellano
ESUEC,Sección  Cultural  y  de  Prensa
ESUEC,Sección  Política
ESUIZ,Jefe  de  Cancillería
ESUIZ,Sección  Cultural
ESUIZ,Sección  Política
ESUIZ,Sección  Consular
ESUIZ,"Sección  Económica, Comercial  y  de  Inversiones"
ESURI,Agregaduria  de  Defensa
ESURI,Sección  Administrativa
ESURI,Sección  Cultural
ESURI,Sección  Económica  y  Comercial
ESURI,Sección  Consular
ESURI,Sección  Política
ETAIL,Agregado  Administrativo
ETAIL,Jefe  de  Cancillería
ETAIL,Sección  Cultural
ETAIL,Sección  Política
ETAIL,Sección  Consular
ETAIL,Sección  Económica  y  Comercial
ETRIA,Sección  de  Administración
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)"
ETRIA,Asuntos  ONUDD
ETRIA,Sección  de  Cooperación  Jurídica
ETRIA,Asuntos  ONUDI
ETRIA,Sección  Consular
ETRIA,Sección  de  DDHH  y  Género
ETRIA,Sección  Bilateral
ETRIA,Sección  Comercial
ETRIA,Asuntos  ONUAEE
ETRIA,Sección  Cultural
ETRIN,Sección
ETUNE,Asuntos  Culturales  
ETUNE,Cooperación  Internacional
ETUNE,Jefe  de  Cancillería
ETUNE,Prensa
ETUNE,Sección  Consular
ETUNE,Sección  Económica  y  Comercial
ETUNE,Sección  Política
ETURQ,Agregada  para  Asuntos  Administrativos
ETURQ,Sección  Económica  y  Comercial
ETURQ,Sección  Consular
ETURQ,Sección  Cultural
EUCRA,Sección  Económica  y  Comercial
EUCRA,Sección  Consular
EUCRA,Sección  Política
EUCRA,Sección  Cultural
EUNGR,Sección  Administrativa
EUNGR,Sección  Consular
EUNGR,Sección  Cultural
EUNGR,Jefe  de  Cancillería
EUNGR,Sección  Política
EURUG,Jefe  de  Cancillería
EURUG,Sección  Política
EURUG,Sección  Cultural
EURUG,Sección  Comercial
EVENE,Sección  Política
EVENE,Sección  Cultural
EVENE,Sección  Económica  y  Comercial
EVENE,Sección  Administrativa
EVENE,Sección  Consular
EVIET,Sección  Política  y  Cooperación
EVIET,"Sección  Económica, Comercial  y  de  Inversiones"
EVIET,Sección  Consular
EVIET,Sección  Prensa  y  Cultura
,Sección  Económica  y  Comercial
